Well	Treatment	Inhibition	siRNA	siRNA_id	siRNA_conc	HiPerfect_conc	Reference
B2	EtOH	NA	NA	NA	NA	NA	B3,C3,D3
C2	EtOH	NA	NA	NA	NA	NA	B3,C3,D3
D2	EGF	NA	NA	NA	NA	NA	B3,C3,D3
E2	EGF	NA	NA	NA	NA	NA	B3,C3,D3
F2	FGF	NA	NA	NA	NA	NA	B3,C3,D3
G2	FGF	NA	NA	NA	NA	NA	B3,C3,D3
B3	4OHT	NA	NA	NA	NA	NA	B3,C3,D3
C3	4OHT	NA	NA	NA	NA	NA	B3,C3,D3
D3	4OHT	NA	NA	NA	NA	NA	B3,C3,D3
E3	4OHT	U0126	NA	NA	NA	NA	B3,C3,D3
F3	4OHT	U0126	NA	NA	NA	NA	B3,C3,D3
G3	4OHT	U0126	NA	NA	NA	NA	B3,C3,D3
B4	4OHT	NA	Mock	*	10	2	B4,B5
B5	4OHT	NA	Mock	*	10	2	B4,B5
B6	4OHT	U0126	Mock	*	10	2	B4,B5
B7	4OHT	U0126	Mock	*	10	2	B4,B5
B8	EtOH	NA	Mock	*	10	2	B4,B5
B9	EtOH	NA	Mock	*	10	2	B4,B5
B10	EtOH	NA	Mock	*	10	2	B4,B5
B11	EtOH	NA	Mock	*	10	2	B4,B5
C4	4OHT	NA	TNFRSF12A	*	10	2	B4,B5
C5	4OHT	NA	TNFRSF12A	1	10	2	B4,B5
C6	4OHT	NA	TNFRSF12A	2	10	2	B4,B5
C7	4OHT	NA	TNFRSF12A	3	10	2	B4,B5
D4	4OHT	NA	NR4A1	*	10	2	B4,B5
D5	4OHT	NA	NR4A1	1	10	2	B4,B5
D6	4OHT	NA	NR4A1	2	10	2	B4,B5
D7	4OHT	NA	NR4A1	3	10	2	B4,B5
E4	4OHT	NA	BCL10	*	10	2	B4,B5
E5	4OHT	NA	BCL10	1	10	2	B4,B5
E6	4OHT	NA	BCL10	2	10	2	B4,B5
E7	4OHT	NA	BCL10	3	10	2	B4,B5
F4	4OHT	NA	PTGS2	*	10	2	B4,B5
F5	4OHT	NA	PTGS2	1	10	2	B4,B5
F6	4OHT	NA	PTGS2	2	10	2	B4,B5
F7	4OHT	NA	PTGS2	3	10	2	B4,B5
G4	4OHT	NA	GADD45A	*	10	2	B4,B5
G5	4OHT	NA	GADD45A	1	10	2	B4,B5
G6	4OHT	NA	GADD45A	2	10	2	B4,B5
G7	4OHT	NA	GADD45A	3	10	2	B4,B5
C8	EtOH	NA	TNFRSF12A	*	10	2	B4,B5
C9	EtOH	NA	TNFRSF12A	1	10	2	B4,B5
C10	EtOH	NA	TNFRSF12A	2	10	2	B4,B5
C11	EtOH	NA	TNFRSF12A	3	10	2	B4,B5
D8	EtOH	NA	NR4A1	*	10	2	B4,B5
D9	EtOH	NA	NR4A1	1	10	2	B4,B5
D10	EtOH	NA	NR4A1	2	10	2	B4,B5
D11	EtOH	NA	NR4A1	3	10	2	B4,B5
E8	EtOH	NA	BCL10	*	10	2	B4,B5
E9	EtOH	NA	BCL10	1	10	2	B4,B5
E10	EtOH	NA	BCL10	2	10	2	B4,B5
E11	EtOH	NA	BCL10	3	10	2	B4,B5
F8	EtOH	NA	PTGS2	*	10	2	B4,B5
F9	EtOH	NA	PTGS2	1	10	2	B4,B5
F10	EtOH	NA	PTGS2	2	10	2	B4,B5
F11	EtOH	NA	PTGS2	3	10	2	B4,B5
G8	EtOH	NA	GADD45A	*	10	2	B4,B5
G9	EtOH	NA	GADD45A	1	10	2	B4,B5
G10	EtOH	NA	GADD45A	2	10	2	B4,B5
G11	EtOH	NA	GADD45A	3	10	2	B4,B5
